"","subject","age","awar","prof","bil.dom","time","age.acq","prime","target","item","target.sta","prime.type","prime.len","target.len","prime.freq","target.freq","target.lan","response","order","RT","amb","listeng","listspa","issue","dis","accuracy","itemcode"
"3","1",25,"no",55,24,33,12,"camión","AXE","conAXE","word","control",6,3,4.8,3.85,"eng","1",127,0.854412913,1,"a","c","ae","no","yes",8
"8","1",25,"no",55,24,33,12,"seda","CANDLE","conCANDLE","word","control",4,6,3.41,3.79,"eng","1",5,0.67444849,0,"a","c","clean","no","yes",17
"10","1",25,"no",55,24,33,12,"gusano","CHERRY","conCHERRY","word","control",6,6,3.42,4.23,"eng","1",4,0.656781495,0,"a","c","clean","no","yes",27
"11","1",25,"no",55,24,33,12,"sobrino","COTTON","conCOTTON","word","control",7,6,3.47,4.1,"eng","1",23,0.745171845,0,"a","c","clean","no","yes",33
"13","1",25,"no",55,24,33,12,"vela","DUVET","conDUVET","word","control",4,5,3.42,3.39,"eng","0",118,0.541547477,0,"a","c","clean","no","no",39
"14","1",25,"no",55,24,33,12,"regla","FABRIC","conFABRIC","word","control",5,6,3.5,3.97,"eng","1",72,0.624794781,0,"a","c","clean","no","yes",45
"16","1",25,"no",55,24,33,12,"cuchara","GRANDPA","conGRANDPA","word","control",7,7,3.85,4.21,"eng","1",91,1.504701495,1,"a","c","com","no","yes",52
"17","1",25,"no",55,24,33,12,"edredón","INK","conINK","word","control",7,3,3.13,3.89,"eng","0",43,0.726403654,0,"a","c","clean","no","no",59
"18","1",25,"no",55,24,33,12,"algodón","KNIFE","conKNIFE","word","control",7,5,3.94,4.49,"eng","1",41,0.64423883,0,"a","c","clean","no","yes",61
"20","1",25,"no",55,24,33,12,"cuchillo","LORRY","conLORRY","word","control",8,5,4.62,4.07,"eng","0",96,0.7762869,1,"a","c","ae","no","no",64
"21","1",25,"no",55,24,33,12,"tijeras","NEPHEW","conNEPHEW","word","control",7,6,3.39,3.81,"eng","1",95,0.790038347,0,"a","c","clean","no","yes",69
"23","1",25,"no",55,24,33,12,"abuelo","SCISSORS","conSCISSORS","word","control",6,8,4.9,3.92,"eng","1",105,0.671559095,1,"a","c","com","no","yes",79
"24","1",25,"no",55,24,33,12,"hacha","SILK","conSILK","word","control",5,4,3.4,4,"eng","1",79,0.657490194,0,"a","c","clean","no","yes",82
"26","1",25,"no",55,24,33,12,"flecha","SPOON","conSPOON","word","control",6,5,3.39,4.29,"eng","1",103,0.640739739,0,"a","c","clean","no","yes",84
"28","1",25,"no",55,24,33,12,"nuez","UMBRELLA","conUMBRELLA","word","control",4,8,3.37,3.89,"eng","1",42,0.888287246,0,"a","c","clean","no","yes",93
"32","1",25,"no",55,24,33,12,"cereza","WORM","conWORM","word","control",6,4,3.68,3.84,"eng","1",82,0.641552508,0,"a","c","clean","no","yes",99
"33","1",25,"no",55,24,33,12,"cesta","BASKET","relBASKET","word","related",5,6,3.57,4.16,"eng","0",61,1.39117837,1,"a","c","as","no","no",239
"34","1",25,"no",55,24,33,12,"manta","BLANKET","relBLANKET","word","related",5,7,3.41,3.93,"eng","1",35,1.458670139,0,"a","c","clean","no","yes",240
"35","1",25,"no",55,24,33,12,"cepillo","BRUSH","relBRUSH","word","related",7,5,3.98,4.29,"eng","1",6,0.660027146,0,"a","c","clean","no","yes",243
"36","1",25,"no",55,24,33,12,"caramelo","CANDY","relCANDY","word","related",8,5,3.88,3.83,"eng","1",86,0.637699723,1,"a","c","ae","no","yes",246
"37","1",25,"no",55,24,33,12,"payaso","CLOWN","relCLOWN","word","related",6,5,3.47,3.9,"eng","1",106,0.721915126,0,"a","c","clean","no","yes",257
"38","1",25,"no",55,24,33,12,"moneda","COIN","relCOIN","word","related",6,4,3.46,4.05,"eng","1",19,0.774448395,0,"a","c","clean","no","yes",258
"39","1",25,"no",55,24,33,12,"galleta","COOKIE","relCOOKIE","word","related",7,6,3.43,3.65,"eng","1",24,0.686305523,1,"a","c","ae","no","yes",259
"40","1",25,"no",55,24,33,12,"maíz","CORN","relCORN","word","related",4,4,3.45,3.94,"eng","1",74,0.585678875,0,"a","c","clean","no","yes",260
"41","1",25,"no",55,24,33,12,"cangrejo","CRAB","relCRAB","word","related",8,4,3.99,4.21,"eng","1",54,1.411314368,0,"a","c","clean","no","yes",262
"42","1",25,"no",55,24,33,12,"masa","DOUGH","relDOUGH","word","related",4,5,3.45,4.05,"eng","1",66,0.739200234,0,"a","c","clean","no","yes",266
"44","1",25,"no",55,24,33,12,"bandera","FLAG","relFLAG","word","related",7,4,4.18,4.42,"eng","1",29,0.74400878,0,"a","c","clean","no","yes",274
"45","1",25,"no",55,24,33,12,"carpeta","FOLDER","relFOLDER","word","related",7,6,3.64,2.94,"eng","1",28,0.758155286,0,"a","c","clean","no","yes",276
"46","1",25,"no",55,24,33,12,"uva","GRAPE","relGRAPE","word","related",3,5,3.34,3.54,"eng","1",40,0.745714128,0,"a","c","clean","no","yes",281
"48","1",25,"no",55,24,33,12,"avellana","HAZELNUT","relHAZELNUT","word","related",8,8,2.72,3.17,"eng","1",10,0.97163862,0,"a","c","clean","no","yes",284
"49","1",25,"no",55,24,33,12,"deberes","HOMEWORK","relHOMEWORK","word","related",7,8,4.01,4.09,"eng","1",125,0.815593541,1,"a","c","as","no","yes",286
"51","1",25,"no",55,24,33,12,"teclado","KEYBOARD","relKEYBOARD","word","related",7,8,3.32,3.64,"eng","1",49,0.739998519,1,"a","c","com","no","yes",288
"52","1",25,"no",55,24,33,12,"ascensor","LIFT","relLIFT","word","related",8,4,4.3,4.75,"eng","1",39,0.711204529,1,"a","c","ae","no","yes",291
"54","1",25,"no",55,24,33,12,"cebolla","ONION","relONION","word","related",7,5,3.79,4.28,"eng","1",59,0.613564909,0,"a","c","clean","no","yes",299
"55","1",25,"no",55,24,33,12,"lápiz","PENCIL","relPENCIL","word","related",5,6,3.45,3.98,"eng","1",115,0.674457014,0,"a","c","clean","no","yes",302
"57","1",25,"no",55,24,33,12,"anillo","RING","relRING","word","related",6,4,4.78,4.92,"eng","1",56,0.591596305,1,"a","c","as","no","yes",304
"59","1",25,"no",55,24,33,12,"escudo","SHIELD","relSHIELD","word","related",6,6,4.01,3.8,"eng","1",50,1.074934959,0,"a","c","clean","no","yes",309
"61","1",25,"no",55,24,33,12,"acero","STEEL","relSTEEL","word","related",5,5,4.2,4.42,"eng","1",63,0.976279497,0,"a","c","clean","no","yes",313
"62","1",25,"no",55,24,33,12,"bandeja","TRAY","relTRAY","word","related",7,4,3.86,4.15,"eng","1",97,1.129569173,0,"a","c","clean","no","yes",319
"64","1",25,"no",55,24,33,12,"herida","WOUND","relWOUND","word","related",6,5,3.5,4.1,"eng","1",126,0.956150651,0,"a","c","clean","no","yes",328
"65","1",25,"no",55,24,33,12,"desierto","BLOGUE","nonBLOGUE","nonword","",8,6,4.49,NA,"eng","0",116,0.843223155,NA,"a","c","clean","no","yes",113
"66","1",25,"no",55,24,33,12,"capilla","BLOOTHE","nonBLOOTHE","nonword","",7,7,3.86,NA,"eng","0",44,1.071058273,NA,"a","c","clean","no","yes",114
"67","1",25,"no",55,24,33,12,"capítulo","BROMB","nonBROMB","nonword","",8,5,4.39,NA,"eng","0",119,0.817599297,NA,"a","c","clean","no","yes",117
"68","1",25,"no",55,24,33,12,"avena","CHAUTCH","nonCHAUTCH","nonword","",5,7,3.61,NA,"eng","0",25,1.205675364,NA,"a","c","clean","no","yes",126
"69","1",25,"no",55,24,33,12,"ajedrez","CHEUTH","nonCHEUTH","nonword","",7,6,3.99,NA,"eng","0",17,0.955972314,NA,"a","c","clean","no","yes",127
"70","1",25,"no",55,24,33,12,"batería","CROOSH","nonCROOSH","nonword","",7,6,4.25,NA,"eng","0",102,0.509388804,NA,"a","c","clean","no","yes",140
"71","1",25,"no",55,24,33,12,"cajón","CRUGE","nonCRUGE","nonword","",5,5,4.17,NA,"eng","0",85,0.72335428,NA,"a","c","clean","no","yes",141
"72","1",25,"no",55,24,33,12,"frasco","DRURCH","nonDRURCH","nonword","",6,6,3.34,NA,"eng","0",92,0.621048629,NA,"a","c","clean","no","yes",147
"73","1",25,"no",55,24,33,12,"árbol","FILK","nonFILK","nonword","",5,4,4.72,NA,"eng","0",71,0.694041431,NA,"a","c","clean","no","yes",150
"74","1",25,"no",55,24,33,12,"aceite","FLIS","nonFLIS","nonword","",6,4,4.26,NA,"eng","0",110,0.690075994,NA,"a","c","clean","no","yes",152
"75","1",25,"no",55,24,33,12,"callejón","FRAS","nonFRAS","nonword","",8,4,4.19,NA,"eng","0",57,0.759230077,NA,"a","c","clean","no","yes",154
"76","1",25,"no",55,24,33,12,"código","FREIGTHTH","nonFREIGTHTH","nonword","",6,9,4.8,NA,"eng","0",75,0.804382443,NA,"a","c","clean","no","yes",155
"77","1",25,"no",55,24,33,12,"colchón","GNERF","nonGNERF","nonword","",7,5,3.84,NA,"eng","0",113,0.461185753,NA,"a","c","clean","no","yes",158
"78","1",25,"no",55,24,33,12,"calabaza","GRAITH","nonGRAITH","nonword","",8,6,3.87,NA,"eng","0",51,0.838553727,NA,"a","c","clean","no","yes",160
"79","1",25,"no",55,24,33,12,"desfile","GUBE","nonGUBE","nonword","",7,4,4.1,NA,"eng","0",128,0.712297618,NA,"a","c","clean","no","yes",161
"80","1",25,"no",55,24,33,12,"borde","GUELCH","nonGUELCH","nonword","",5,6,4.23,NA,"eng","0",101,0.523135543,NA,"a","c","clean","no","yes",162
"81","1",25,"no",55,24,33,12,"cuadro","JIEF","nonJIEF","nonword","",6,4,4.31,NA,"eng","0",112,0.492986888,NA,"a","c","clean","no","yes",164
"82","1",25,"no",55,24,33,12,"comité","KNAFE","nonKNAFE","nonword","",6,5,4.41,NA,"eng","0",7,1.072133899,NA,"a","c","clean","no","yes",166
"83","1",25,"no",55,24,33,12,"leche","PHEAP","nonPHEAP","nonword","",5,5,3.52,NA,"eng","0",33,0.539764047,NA,"a","c","clean","no","yes",176
"84","1",25,"no",55,24,33,12,"carro","PHRAGUE","nonPHRAGUE","nonword","",5,7,4.25,NA,"eng","0",14,0.572278142,NA,"a","c","clean","no","yes",177
"85","1",25,"no",55,24,33,12,"baúl","PHREIN","nonPHREIN","nonword","",4,6,3.99,NA,"eng","0",123,1.09152627,NA,"a","c","clean","no","yes",178
"86","1",25,"no",55,24,33,12,"proa","PHRELF","nonPHRELF","nonword","",4,6,3.32,NA,"eng","0",34,0.558366656,NA,"a","c","clean","no","yes",179
"87","1",25,"no",55,24,33,12,"chivo","PHRIP","nonPHRIP","nonword","",5,5,3.61,NA,"eng","0",117,0.552437723,NA,"a","c","clean","no","yes",180
"88","1",25,"no",55,24,33,12,"cobre","PHUIFF","nonPHUIFF","nonword","",5,6,3.6,NA,"eng","0",15,0.826903164,NA,"a","c","clean","no","yes",181
"89","1",25,"no",55,24,33,12,"cemento","PLAC","nonPLAC","nonword","",7,4,3.69,NA,"eng","0",30,0.727769852,NA,"a","c","clean","no","yes",182
"90","1",25,"no",55,24,33,12,"celda","PLEG","nonPLEG","nonword","",5,4,4.48,NA,"eng","0",89,0.746906698,NA,"a","c","clean","no","yes",183
"91","1",25,"no",55,24,33,12,"cola","ROUNT","nonROUNT","nonword","",4,5,4.49,NA,"eng","0",107,0.958804071,NA,"a","c","clean","no","yes",184
"92","1",25,"no",55,24,33,12,"cabaña","SAZZ","nonSAZZ","nonword","",6,4,4.26,NA,"eng","0",27,0.609557688,NA,"a","c","clean","no","yes",185
"93","1",25,"no",55,24,33,12,"cable","SCRAC","nonSCRAC","nonword","",5,5,4.48,NA,"eng","0",78,0.758170664,NA,"a","c","clean","no","yes",186
"94","1",25,"no",55,24,33,12,"cuna","SCREATHE","nonSCREATHE","nonword","",4,8,3.96,NA,"eng","0",73,1.022359848,NA,"a","c","clean","no","yes",187
"95","1",25,"no",55,24,33,12,"disco","SCRINCH","nonSCRINCH","nonword","",5,7,3.52,NA,"eng","0",65,1.034260392,NA,"a","c","clean","no","yes",188
"96","1",25,"no",55,24,33,12,"viña","SCROOTHE","nonSCROOTHE","nonword","",4,8,3.11,NA,"eng","0",11,1.238545299,NA,"a","c","clean","no","yes",189
"97","1",25,"no",55,24,33,12,"almuerzo","SCRORQUE","nonSCRORQUE","nonword","",8,8,4.71,NA,"eng","0",83,0.688144922,NA,"a","c","clean","no","yes",190
"98","1",25,"no",55,24,33,12,"bóveda","SCROURGE","nonSCROURGE","nonword","",6,8,4.05,NA,"eng","0",87,0.65283531,NA,"a","c","clean","no","yes",191
"99","1",25,"no",55,24,33,12,"castillo","SCROUTE","nonSCROUTE","nonword","",8,7,4.33,NA,"eng","0",52,0.754701018,NA,"a","c","clean","no","yes",192
"100","1",25,"no",55,24,33,12,"almohada","SHRUICK","nonSHRUICK","nonword","",8,7,4.07,NA,"eng","0",58,0.725691557,NA,"a","c","clean","no","yes",193
"101","1",25,"no",55,24,33,12,"cuartel","SHRUISE","nonSHRUISE","nonword","",7,7,4.06,NA,"eng","0",99,0.635467827,NA,"a","c","clean","no","yes",194
"102","1",25,"no",55,24,33,12,"raíl","SKAUGTH","nonSKAUGTH","nonword","",4,7,3.09,NA,"eng","0",9,0.82127291,NA,"a","c","clean","no","yes",195
"103","1",25,"no",55,24,33,12,"botella","SKEIGH","nonSKEIGH","nonword","",7,6,4.63,NA,"eng","0",32,0.706803858,NA,"a","c","clean","no","yes",196
"104","1",25,"no",55,24,33,12,"cerveza","SLAWN","nonSLAWN","nonword","",7,5,4.9,NA,"eng","1",16,1.309767365,NA,"a","c","clean","no","no",197
"105","1",25,"no",55,24,33,12,"diana","SMOUNT","nonSMOUNT","nonword","",5,6,4.27,NA,"eng","0",36,1.306275129,NA,"a","c","clean","no","yes",198
"106","1",25,"no",55,24,33,12,"camilla","SNEESE","nonSNEESE","nonword","",7,6,3.88,NA,"eng","0",88,0.673703134,NA,"a","c","clean","no","yes",199
"107","1",25,"no",55,24,33,12,"cuerda","SNUIN","nonSNUIN","nonword","",6,5,4.37,NA,"eng","0",114,0.509337187,NA,"a","c","clean","no","yes",200
"108","1",25,"no",55,24,33,12,"boleto","SOURGE","nonSOURGE","nonword","",6,6,4.33,NA,"eng","0",8,1.290194988,NA,"a","c","clean","no","yes",203
"109","1",25,"no",55,24,33,12,"dibujo","SPLARCE","nonSPLARCE","nonword","",6,7,4.14,NA,"eng","0",104,1.254715085,NA,"a","c","clean","no","yes",204
"110","1",25,"no",55,24,33,12,"barrio","SPLAUNCH","nonSPLAUNCH","nonword","",6,8,4.58,NA,"eng","0",18,0.77317524,NA,"a","c","clean","no","yes",205
"111","1",25,"no",55,24,33,12,"cohete","SPLOATHE","nonSPLOATHE","nonword","",6,8,4.03,NA,"eng","0",12,0.791912735,NA,"a","c","clean","no","yes",206
"112","1",25,"no",55,24,33,12,"bebida","SPLOUNGE","nonSPLOUNGE","nonword","",6,8,4.45,NA,"eng","0",53,0.836376011,NA,"a","c","clean","no","yes",207
"113","1",25,"no",55,24,33,12,"foso","SPLYNC","nonSPLYNC","nonword","",4,6,3.31,NA,"eng","0",69,0.68799299,NA,"a","c","clean","no","yes",208
"114","1",25,"no",55,24,33,12,"colina","SPRIEVE","nonSPRIEVE","nonword","",6,7,4.18,NA,"eng","0",38,1.167197704,NA,"a","c","clean","no","yes",209
"115","1",25,"no",55,24,33,12,"carreta","SPRUE","nonSPRUE","nonword","",7,5,3.65,NA,"eng","0",111,0.658986509,NA,"a","c","clean","no","yes",210
"116","1",25,"no",55,24,33,12,"almacén","STATCH","nonSTATCH","nonword","",7,6,4.19,NA,"eng","0",13,0.807296574,NA,"a","c","clean","no","yes",211
"117","1",25,"no",55,24,33,12,"autobús","STRARSH","nonSTRARSH","nonword","",7,7,4.84,NA,"eng","0",21,1.559834003,NA,"a","c","clean","no","yes",212
"118","1",25,"no",55,24,33,12,"carpa","THARC","nonTHARC","nonword","",5,5,3.73,NA,"eng","0",60,0.656916797,NA,"a","c","clean","no","yes",213
"119","1",25,"no",55,24,33,12,"bañera","THRARSE","nonTHRARSE","nonword","",6,7,4.01,NA,"eng","0",100,0.574852228,NA,"a","c","clean","no","yes",214
"120","1",25,"no",55,24,33,12,"desayuno","THROURTH","nonTHROURTH","nonword","",8,8,4.63,NA,"eng","0",64,2.053725481,NA,"a","c","clean","no","yes",215
"121","1",25,"no",55,24,33,12,"techo","THRUCH","nonTHRUCH","nonword","",5,6,3.51,NA,"eng","0",31,0.756784439,NA,"a","c","clean","no","yes",216
"122","1",25,"no",55,24,33,12,"cera","THWOCHE","nonTHWOCHE","nonword","",4,7,3.81,NA,"eng","0",22,0.606879056,NA,"a","c","clean","no","yes",217
"123","1",25,"no",55,24,33,12,"queso","TRUBE","nonTRUBE","nonword","",5,5,3.52,NA,"eng","0",45,0.776060343,NA,"a","c","clean","no","yes",219
"124","1",25,"no",55,24,33,12,"canasta","TWOURSE","nonTWOURSE","nonword","",7,7,3.97,NA,"eng","0",90,0.604315639,NA,"a","c","clean","no","yes",220
"125","1",25,"no",55,24,33,12,"carrito","VARGUE","nonVARGUE","nonword","",7,6,3.69,NA,"eng","0",20,0.930685937,NA,"a","c","clean","no","yes",221
"126","1",25,"no",55,24,33,12,"olivo","WEALT","nonWEALT","nonword","",5,5,3.07,NA,"eng","0",26,0.824217319,NA,"a","c","clean","no","yes",225
"127","1",25,"no",55,24,33,12,"correo","WRIRQUE","nonWRIRQUE","nonword","",6,7,4.63,NA,"eng","0",76,1.168952584,NA,"a","c","clean","no","yes",226
"128","1",25,"no",55,24,33,12,"crucero","WROOB","nonWROOB","nonword","",7,5,3.96,NA,"eng","0",77,0.711653352,NA,"a","c","clean","no","yes",227
"131","1",25,"no",55,24,33,12,"hazelnut","ANILLO","conANILLO","word","control",8,6,3.17,4.78,"spa","1",87,0.675682008,1,"a","c","as","no","yes",4
"132","1",25,"no",55,24,33,12,"arrow","AVELLANA","conAVELLANA","word","control",5,8,3.78,2.72,"spa","1",74,0.823031604,0,"a","c","clean","no","yes",7
"134","1",25,"no",55,24,33,12,"silk","BOSQUE","conBOSQUE","word","control",4,6,4,4.73,"spa","1",111,1.355927587,0,"a","c","clean","no","yes",13
"135","1",25,"no",55,24,33,12,"shield","CAMIÓN","conCAMIÓN","word","control",6,6,3.8,4.8,"spa","1",25,0.625817478,1,"a","c","ae","no","yes",16
"136","1",25,"no",55,24,33,12,"lorry","CEBOLLA","conCEBOLLA","word","control",5,7,4.07,3.79,"spa","1",114,0.638662696,1,"a","c","ae","no","yes",23
"137","1",25,"no",55,24,33,12,"duvet","CEREZA","conCEREZA","word","control",5,6,3.39,3.68,"spa","1",85,0.957621813,0,"a","c","clean","no","yes",25
"140","1",25,"no",55,24,33,12,"corn","DEBERES","conDEBERES","word","control",4,7,3.94,4.01,"spa","1",1,0.625920773,1,"a","c","as","no","yes",37
"141","1",25,"no",55,24,33,12,"axe","EDREDÓN","conEDREDÓN","word","control",3,7,3.85,3.13,"spa","0",117,0.740801513,0,"a","c","clean","no","no",41
"144","1",25,"no",55,24,33,12,"cotton","ESCUDO","conESCUDO","word","control",6,6,4.1,4.01,"spa","1",38,0.675632477,0,"a","c","clean","no","yes",43
"145","1",25,"no",55,24,33,12,"scissors","ESPADA","conESPADA","word","control",8,6,3.92,3.49,"spa","1",63,0.703776658,0,"a","c","clean","no","yes",44
"146","1",25,"no",55,24,33,12,"homework","FLECHA","conFLECHA","word","control",8,6,4.09,3.39,"spa","1",45,0.789895833,1,"a","c","as","no","yes",47
"147","1",25,"no",55,24,33,12,"blanket","FRENO","conFRENO","word","control",7,5,3.93,3.38,"spa","1",127,1.389392257,0,"a","c","clean","no","yes",50
"148","1",25,"no",55,24,33,12,"umbrella","GUSANO","conGUSANO","word","control",8,6,3.89,3.42,"spa","1",47,0.741441071,0,"a","c","clean","no","yes",54
"149","1",25,"no",55,24,33,12,"onion","HACHA","conHACHA","word","control",5,5,4.28,3.4,"spa","1",107,0.856150329,0,"a","c","clean","no","yes",55
"150","1",25,"no",55,24,33,12,"ring","LÁPIZ","conLÁPIZ","word","control",4,5,4.92,3.45,"spa","1",98,0.656021655,1,"a","c","as","no","yes",62
"151","1",25,"no",55,24,33,12,"brake","MAÍZ","conMAÍZ","word","control",5,4,3.84,3.45,"spa","1",49,0.672135532,0,"a","c","clean","no","yes",65
"152","1",25,"no",55,24,33,12,"cherry","MANTA","conMANTA","word","control",6,5,4.23,3.41,"spa","1",70,0.736335576,0,"a","c","clean","no","yes",66
"155","1",25,"no",55,24,33,12,"pencil","PARAGUAS","conPARAGUAS","word","control",6,8,3.98,3.34,"spa","1",55,0.973377705,0,"a","c","clean","no","yes",72
"157","1",25,"no",55,24,33,12,"candle","TIJERAS","conTIJERAS","word","control",6,7,3.79,3.39,"spa","1",120,0.649056315,0,"a","c","clean","no","yes",89
"158","1",25,"no",55,24,33,12,"wheat","TINTA","conTINTA","word","control",5,5,3.95,3.4,"spa","1",108,0.974857807,0,"a","c","clean","no","yes",90
"159","1",25,"no",55,24,33,12,"knife","TRIGO","conTRIGO","word","control",5,5,4.49,3.37,"spa","1",23,0.775721133,0,"a","c","clean","no","yes",92
"160","1",25,"no",55,24,33,12,"sword","VELA","conVELA","word","control",5,4,4.09,3.42,"spa","1",27,0.710442066,0,"a","c","clean","no","yes",95
"161","1",25,"no",55,24,33,12,"grandpa","ABUELO","relABUELO","word","related",7,6,4.21,4.9,"spa","1",66,0.655207098,1,"a","c","com","no","yes",229
"163","1",25,"no",55,24,33,12,"lift","ASCENSOR","relASCENSOR","word","related",4,8,4.75,4.3,"spa","1",80,0.735804796,1,"a","c","ae","no","yes",234
"165","1",25,"no",55,24,33,12,"tray","BANDEJA","relBANDEJA","word","related",4,7,4.15,3.86,"spa","1",65,1.156103969,0,"a","c","clean","no","yes",237
"166","1",25,"no",55,24,33,12,"flag","BANDERA","relBANDERA","word","related",4,7,4.42,4.18,"spa","1",115,0.585003018,0,"a","c","clean","no","yes",238
"168","1",25,"no",55,24,33,12,"candy","CARAMELO","relCARAMELO","word","related",5,8,3.83,3.88,"spa","1",122,0.570908546,1,"a","c","ae","no","yes",248
"169","1",25,"no",55,24,33,12,"folder","CARPETA","relCARPETA","word","related",6,7,2.94,3.64,"spa","1",11,1.535668492,0,"a","c","clean","no","yes",249
"171","1",25,"no",55,24,33,12,"brush","CEPILLO","relCEPILLO","word","related",5,7,4.29,3.98,"spa","1",105,1.020898104,0,"a","c","clean","no","yes",252
"172","1",25,"no",55,24,33,12,"basket","CESTA","relCESTA","word","related",6,5,4.16,3.57,"spa","1",91,1.143664479,1,"a","c","as","no","yes",254
"173","1",25,"no",55,24,33,12,"scar","CICATRIZ","relCICATRIZ","word","related",4,8,3.6,4.03,"spa","1",14,0.824674726,0,"a","c","clean","no","yes",256
"175","1",25,"no",55,24,33,12,"cookie","GALLETA","relGALLETA","word","related",6,7,3.65,3.43,"spa","1",16,0.759962678,1,"a","c","ae","no","yes",279
"177","1",25,"no",55,24,33,12,"wound","HERIDA","relHERIDA","word","related",5,6,4.1,3.5,"spa","1",79,0.808318436,0,"a","c","clean","no","yes",285
"180","1",25,"no",55,24,33,12,"dough","MASA","relMASA","word","related",5,4,4.05,3.45,"spa","1",119,1.007263541,0,"a","c","clean","no","yes",295
"181","1",25,"no",55,24,33,12,"coin","MONEDA","relMONEDA","word","related",4,6,4.05,3.46,"spa","1",26,0.539509296,0,"a","c","clean","no","yes",296
"185","1",25,"no",55,24,33,12,"walnut","NUEZ","relNUEZ","word","related",6,4,3.73,3.37,"spa","1",100,0.793092012,0,"a","c","clean","no","yes",298
"186","1",25,"no",55,24,33,12,"clown","PAYASO","relPAYASO","word","related",5,6,3.9,3.47,"spa","1",68,0.554478467,0,"a","c","clean","no","yes",301
"187","1",25,"no",55,24,33,12,"ruler","REGLA","relREGLA","word","related",5,5,3.63,3.5,"spa","1",22,0.859784663,0,"a","c","clean","no","yes",303
"188","1",25,"no",55,24,33,12,"nephew","SOBRINO","relSOBRINO","word","related",6,7,3.81,3.47,"spa","1",103,0.954081774,0,"a","c","clean","no","yes",311
"189","1",25,"no",55,24,33,12,"keyboard","TECLADO","relTECLADO","word","related",8,7,3.64,3.32,"spa","1",69,0.641299486,1,"a","c","com","no","yes",315
"190","1",25,"no",55,24,33,12,"fabric","TELA","relTELA","word","related",6,4,3.97,3.41,"spa","1",83,0.662167728,0,"a","c","clean","no","yes",316
"191","1",25,"no",55,24,33,12,"grape","UVA","relUVA","word","related",5,3,3.54,3.34,"spa","1",67,0.674191654,0,"a","c","clean","no","yes",322
"193","1",25,"no",55,24,33,12,"cloud","AJE","nonAJE","nonword","",5,3,4.77,NA,"spa","0",97,0.885155916,NA,"a","c","clean","no","yes",101
"194","1",25,"no",55,24,33,12,"sign","ALDEI","nonALDEI","nonword","",4,5,4.98,NA,"spa","0",124,0.793290436,NA,"a","c","clean","no","yes",102
"195","1",25,"no",55,24,33,12,"gypsy","ALMOTADA","nonALMOTADA","nonword","",5,8,3.59,NA,"spa","0",86,0.974175572,NA,"a","c","clean","no","yes",103
"196","1",25,"no",55,24,33,12,"beach","ALOMNA","nonALOMNA","nonword","",5,6,4.72,NA,"spa","0",33,0.873647869,NA,"a","c","clean","no","yes",104
"197","1",25,"no",55,24,33,12,"cross","APESOR","nonAPESOR","nonword","",5,6,4.94,NA,"spa","0",28,0.95812571,NA,"a","c","clean","no","yes",105
"198","1",25,"no",55,24,33,12,"sugar","ARBISTA","nonARBISTA","nonword","",5,7,4.84,NA,"spa","0",94,0.771546245,NA,"a","c","clean","no","yes",106
"199","1",25,"no",55,24,33,12,"rubber","ARTOL","nonARTOL","nonword","",6,5,4.06,NA,"spa","0",101,0.760558724,NA,"a","c","clean","no","yes",107
"200","1",25,"no",55,24,33,12,"chair","ATION","nonATION","nonword","",5,5,4.66,NA,"spa","0",36,0.937172949,NA,"a","c","clean","no","yes",108
"201","1",25,"no",55,24,33,12,"twin","ATUELA","nonATUELA","nonword","",4,6,4.01,NA,"spa","0",32,1.15852952,NA,"a","c","clean","no","yes",109
"202","1",25,"no",55,24,33,12,"ash","BAFETE","nonBAFETE","nonword","",3,6,4.19,NA,"spa","0",113,0.771605551,NA,"a","c","clean","no","yes",110
"203","1",25,"no",55,24,33,12,"cucumber","BARNE","nonBARNE","nonword","",8,5,3.77,NA,"spa","0",5,1.106876969,NA,"a","c","clean","no","yes",111
"204","1",25,"no",55,24,33,12,"apple","BARVO","nonBARVO","nonword","",5,5,4.58,NA,"spa","0",73,0.758969367,NA,"a","c","clean","no","yes",112
"205","1",25,"no",55,24,33,12,"kite","BLOQUI","nonBLOQUI","nonword","",4,6,3.89,NA,"spa","0",19,0.914948344,NA,"a","c","clean","no","yes",115
"206","1",25,"no",55,24,33,12,"clock","BOTELLU","nonBOTELLU","nonword","",5,7,4.89,NA,"spa","0",57,0.736199915,NA,"a","c","clean","no","yes",116
"207","1",25,"no",55,24,33,12,"bubble","BRUBA","nonBRUBA","nonword","",6,5,4.16,NA,"spa","0",40,0.775969446,NA,"a","c","clean","no","yes",118
"208","1",25,"no",55,24,33,12,"throne","BUERNO","nonBUERNO","nonword","",6,6,4,NA,"spa","0",76,1.022597551,NA,"a","c","clean","no","yes",119
"209","1",25,"no",55,24,33,12,"vault","BURSO","nonBURSO","nonword","",5,5,3.65,NA,"spa","0",53,0.840366662,NA,"a","c","clean","no","yes",120
"210","1",25,"no",55,24,33,12,"laptop","CALAL","nonCALAL","nonword","",6,5,3.89,NA,"spa","0",99,0.907796562,NA,"a","c","clean","no","yes",121
"211","1",25,"no",55,24,33,12,"troop","CARTÉN","nonCARTÉN","nonword","",5,6,3.5,NA,"spa","1",92,0.594769418,NA,"a","c","clean","no","no",122
